DEPT,DVER,BDIA,ROPA,HKLA,HKLX,WOBA,TQA,TQX,RPMA,RPMB,SPPA,TVA,MFIA,MFOA,MDIA,MDOA,MTIA,MTOA,ECDT,BDTI,BDDI,BRVC,TCTI,FPPG,DXC,GASX,HSX,MTHA,ETHA,PRPA,IBTA,NBTA,IPNA,NPNA,C1C2,C1C3,C1C4,C1C5,LITH
182,182.0,36.0,27.05,33.57,None,1.71,7.99,None,None,69.0,61.0,None,2779.1,None,None,None,69.0,None,None,5.03,37.07,5.72,6.87,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
183,183.0,36.0,25.35,33.52,None,1.76,8.37,None,None,69.0,61.0,None,2779.1,None,None,None,69.0,None,None,5.17,38.07,5.88,7.05,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
184,184.0,36.0,25.17,33.56,None,1.72,7.82,None,None,69.0,61.0,None,2779.1,None,None,None,69.0,None,None,5.31,39.07,6.05,7.24,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
185,185.0,36.0,25.68,33.61,None,1.67,7.64,None,None,69.0,61.0,None,2779.1,None,None,None,69.0,None,None,5.44,40.07,6.21,7.42,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
186,186.0,36.0,26.11,33.67,None,1.62,6.43,None,None,69.0,61.0,None,2779.1,None,None,None,69.0,None,None,5.58,41.07,6.37,7.61,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
187,187.0,36.0,26.28,33.62,None,1.66,6.93,None,None,69.0,61.0,None,2779.1,None,None,None,69.0,None,None,5.71,42.07,6.53,7.79,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
188,188.0,36.0,24.44,33.52,None,1.76,8.47,None,None,69.0,62.0,None,2779.1,None,None,None,69.0,None,None,5.85,43.07,6.7,7.98,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
189,189.0,36.0,22.06,33.43,None,1.85,8.59,None,None,69.14,62.0,None,2779.1,None,None,None,69.14,None,None,5.99,44.07,6.88,8.17,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
190,190.0,36.0,23.79,33.51,None,1.76,9.17,None,None,69.0,62.0,None,2779.1,None,None,None,69.0,None,None,6.12,45.07,7.06,8.35,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
191,191.0,36.0,25.54,33.53,None,1.75,9.62,None,None,69.0,62.0,None,2779.1,None,None,None,69.0,None,None,6.26,46.07,7.22,8.54,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
